"Special Services Description","Call Number / Pattern","Type of rate (see bottom)","Initial Cost","Cost on Weekdays from 9am to 9pm","Cost on Weekdays from 9pm to 9am, weekend and holidays","Max Cost"
"Serviço de Acesso Universal Optimus","70793xxxx","1","0,1","0,1","0,1",-1
"Serv Cha c/ Custos Partilhados Optimus","80893xxxx","1","0,07","0,0258","0,0084",-1
"Serv Cha c/ Custos Partilhados Optimus","80993xxxx","1","0,0258","0,0258","0,0258",-1
"Serviço de Acesso Universal Radiomóvel","70794xxxx","1","0,1","0,1","0,1",-1
"Serviço de Acesso Universal Radiomóvel","70894xxxx","1","0,1","0,1","0,1",-1
"Serv Cha c/ Custos Partilhados Radiomóvel","80894xxxx","1","0,07","0,0258","0,0084",-1
"Serviço de Acesso Universal TMN","70796xxxx","1","0,1","0,1","0,1",-1
"Serv Cha c/ Custos Partilhados TMN","80896xxxx","1","0,07","0,0258","0,0084",-1
"Serviço de Acesso Universal Zon","70799xxxx","1","0,1","0,1","0,1",-1
"Serv Cha c/ Custos Partilhados Zon","80899xxxx","1","0,07","0,0258","0,0084",-1
"Dados PT Prime X.25",674141000,1,"0,07","0,0261","0,0084",-1
"PoS SIBS Direct Charge",674111000,3,"0,092",0,0,-1
"Internet PT Prime Serviço Yes-Like",674163000,1,"0,045","0,015","0,0102",-1
"Internet PT Prime Acesso Quase-Verde",674164000,3,"0,5",0,0,-1
"Internet PT Prime","67417xxxx","LocalPT","0,07","0,0261","0,0084",-1
"Internet Nortenet/Media Capital",674400000,4,"0,1749","0,0439","0,0179",-1
"Informação Meteorológica",12150,"3","0,4695",0,0,-1
"Informação Horária",12151,"3","0,2988",0,0,-1
"Serviço Noticioso",12153,"3","0,4695",0,0,-1
"Resultados Desportivos",12157,"3","0,4695",0,0,-1
"Lotaria Totobola e Totoloto",12158,"3","0,4695",0,0,-1
"SSE - Suporte ao Serviço a Clientes Clix",16100,"1","0,2578","0,2578","0,2578",-1
"SSE - Apoio a Clientes Novis",16103,"1","0,2578","0,2578","0,2578",-1
"SSE - Apoio a Clientes Novis - Linha de Apoio Técnico Clix",16105,"3","0,236",0,0,-1
"SSE - Apoio a Clientes Novis – Clix",16109,"1","0,6723","0,6723","0,6723",-1
"SSE - Apoio a Clientes Refer","1612x","1","0,27","0,27","0,27",-1
"SSE - Apoio a Clientes ZON TV Cabo Madeirense",16130,"1","0,05","0,05","0,05",-1
"SSE - Apoio a Clientes ZON TV Cabo Madeirense",16131,"1","0,05","0,05","0,05",-1
"SSE - Apoio a Clientes ZON TV Cabo Açoreana",16161,"1","0,2439","0,2439","0,2439",-1
"SSE - Apoio a Clientes PTC",16200,"not applied",0,0,0,-1
"SSE – Assistência informática a clientes Sapo",16202,"6","0,2231","0,2231","0,2231",-1
"SSE - Assistência Informática a clientes Telepac ADSL",16203,"6","0,2231","0,2231","0,2231",-1
"SSE – Apoio Técnico",16209,1,"0,1142","0,1142","0,1142","2,8921"
"SSE - Apoio a Clientes Ar Telecom","1630x","4","0,0798","0,035","0,035",-1
"SSE - Apoio a Clientes Lycamobile","1632x","4",0,"0,4021","0,4021",-1
"SSE - Apoio a Clientes Media Capital",16444,"1","0,5042","0,5042","0,5042",-1
"SSE - Apoio a Clientes G9","1645X","1","0,05","0,05","0,05",-1
"SSE - Apoio a Clientes ONI",16500,"1","0,07","0,03","0,01",-1
"SSE - Apoio a Clientes ONI Apoio Internet",16505,"1","0,2728","0,2728","0,2728",-1
"SSE - Apoio a Clientes ONI Inf. Internet",16504,"1","0,0798","0,02","0,0095",-1
"SSE - Apoio a Clientes ONI",16509,"1","0,07","0,03","0,01",-1
"SSE - Apoio a Clientes Coltel",16782,"4",0,"0,2494","0,2494",-1
"SSE - Apoio a Clientes Coltel",16783,"4",0,"0,2494","0,2494",-1
"SSE - Apoio a Clientes Cabovisão",16804,"1","0,2439","0,2439","0,2439",-1
"SSE - Apoio a Clientes Vodafone",1691,"4",0,"0,4142","0,4142",-1
"SSE - Apoio Net Empresarial Vodafone",16917,"4",0,"0,4142","0,4142",-1
"SSE - Apoio a Clientes CTT",1692,"8","0,4","0,4","0,4",-1
"SSE - Apoio a Clientes Optimus",1693,"4",0,"0,38","0,38",-1
"SSE - Apoio a Clientes Radiomóvel",1694,"4",0,"0,38","0,38",-1
"SSE - Apoio a Clientes TMN",1696,"3","0,235",0,0,-1
"SSE - Apoio ao Cliente ZON",16990,"1","0,2439","0,2439","0,2439",-1
"SSE - Apoio a Clientes ZON",16991,"1","0,25","0,25","0,25",-1
"SSE - Apoio a Clientes ZON",16996,"9","0,2439","0,2439","0,2439",-1
"SSE - Informativo",118,"3","0,5634",0,0,-1
"SSE - Informativo",12118,"2","0,6179","0,3496","0,3496",-1
"SSE - Informativo",1820,"2","0,6179","0,3496","0,3496",-1
"SSE - Informativo Refer","1812x","1","0,5","0,5","0,5",-1
"SSE - Informativo Coltel",18780,"4",0,"0,399","0,399",-1
"SSE - Informativo Vodafone",1891,"1","0,8177","0,8177","0,8177",-1
"SSE - Informativo Optimus",1893,"4",0,"0,7","0,7",-1
"SSE - Informativo Radiomóvel",1894,"4",0,"0,5","0,5",-1
"SSE - Informativo TMN",1896,"1","0,7875","0,7875","0,7875",-1
"Serv Cha c/ Custos Partilhados ONI","80853xxxx","1","0,07","0,0258",0,-1
"Informativo",16916,"4","0,18","0","0",-1
