"DESTINATION","PREFIX","RATE"
"Botswana Mobile - Orange",267753,"0,2236"
"Botswana Mobile - Other",2677,"0,2236"
"Brazil - Belo Horizonte",5531,"0,0218"
"Brazil - Rio de Janeiro",5521,"0,0218"
"Brazil - ROC",55,"0,0218"
"Brazil - S¿Paulo",5511,"0,0218"
"Brazil - S¿Paulo",55115212,"0,0218"
"Brazil - S¿Paulo",55115213,"0,0218"
"Brazil Mobile",55115020,"0,157"
"Brazil Mobile",55115023,"0,157"
"Brazil Mobile",55115024,"0,157"
"Brazil Mobile",55115025,"0,157"
"Brazil Mobile",55115026,"0,157"
"Brazil Mobile",55115027,"0,157"
"Brazil Mobile",55115028,"0,157"
"Brazil Mobile",55115030,"0,157"
"Brazil Mobile",55115037,"0,157"
"Brazil Mobile",55115038,"0,157"
"Brazil Mobile",55115039,"0,157"
"Brazil Mobile",55115040,"0,157"
"Brazil Mobile",55115043,"0,157"
"Brazil Mobile",55115047,"0,157"
"Brazil Mobile",55115048,"0,157"
"Brazil Mobile",55115050,"0,157"
"Brazil Mobile",55115057,"0,157"
"Brazil Mobile",55115059,"0,157"
"Brazil Mobile",55115064,"0,157"
"Brazil Mobile",55115075,"0,157"
"Brazil Mobile",55115076,"0,157"
"Brazil Mobile",55115100,"0,157"
"Brazil Mobile",55115101,"0,157"
"Brazil Mobile",55115104,"0,157"
"Brazil Mobile",55115106,"0,157"
"Brazil Mobile",55115107,"0,157"
"Brazil Mobile",55115108,"0,157"
"Brazil Mobile",55115109,"0,157"
"Brazil Mobile",55115113,"0,157"
"Brazil Mobile",55115114,"0,157"
"Brazil Mobile",55115116,"0,157"
"Brazil Mobile",55115117,"0,157"
"Brazil Mobile",55115118,"0,157"
"Brazil Mobile",55115119,"0,157"
"Brazil Mobile",5511512,"0,157"
"Brazil Mobile",5511513,"0,157"
"Brazil Mobile",5511514,"0,157"
"Brazil Mobile",5511515,"0,157"
"Brazil Mobile",5511516,"0,157"
"Brazil Mobile",55115170,"0,157"
"Brazil Mobile",55115172,"0,157"
"Brazil Mobile",55115173,"0,157"
"Brazil Mobile",55115174,"0,157"
"Brazil Mobile",55115175,"0,157"
"Brazil Mobile",55115176,"0,157"
"Brazil Mobile",55115177,"0,157"
"Brazil Mobile",55115178,"0,157"
"Brazil Mobile",55115179,"0,157"
"Brazil Mobile",55115190,"0,157"
"Brazil Mobile",55115192,"0,157"
"Brazil Mobile",55115193,"0,157"
"Brazil Mobile",55115194,"0,157"
"Brazil Mobile",55115196,"0,157"
"Brazil Mobile",55115197,"0,157"
"Brazil Mobile",55115198,"0,157"
"Brazil Mobile",551152,"0,157"
"Brazil Mobile",55115211,"0,157"
"Brazil Mobile",55115215,"0,157"
"Brazil Mobile",55115216,"0,157"
"Brazil Mobile",55115217,"0,157"
"Brazil Mobile",55115219,"0,157"
"Brazil Mobile",551153,"0,157"
"Brazil Mobile",551154,"0,157"
"Brazil Mobile",55115500,"0,157"
"Brazil Mobile",55115530,"0,157"
"Brazil Mobile",55115540,"0,157"
"Brazil Mobile",55115550,"0,157"
"Brazil Mobile",55115552,"0,157"
"Brazil Mobile",55115554,"0,157"
"Brazil Mobile",551157,"0,157"
"Brazil Mobile",55115810,"0,157"
"Brazil Mobile",55115813,"0,157"
"Brazil Mobile",55115815,"0,157"
"Brazil Mobile",55115900,"0,157"
"Brazil Mobile",55115902,"0,157"
"Brazil Mobile",55115903,"0,157"
"Brazil Mobile",55115905,"0,157"
"Brazil Mobile",55115930,"0,157"
"Brazil Mobile",55115935,"0,157"
"Brazil Mobile",55115936,"0,157"
"Brazil Mobile",5511594,"0,157"
"Brazil Mobile",5511595,"0,157"
"Brazil Mobile",5511596,"0,157"
"Brazil Mobile",5511599,"0,157"
"Brazil Mobile",55116,"0,157"
"Brazil Mobile",55118,"0,157"
"Brazil Mobile",55126,"0,157"
"Brazil Mobile",55127,"0,157"
"Brazil Mobile",55128,"0,157"
"Brazil Mobile",55136,"0,157"
"Brazil Mobile",55137,"0,157"
"Brazil Mobile",55138,"0,157"
"Brazil Mobile",55146,"0,157"
"Brazil Mobile",55147,"0,157"
"Brazil Mobile",55148,"0,157"
"Brazil Mobile",55156,"0,157"
"Brazil Mobile",55157,"0,157"
"Brazil Mobile",55158,"0,157"
"Brazil Mobile",55166,"0,157"
"Brazil Mobile",55167,"0,157"
"Brazil Mobile",55168,"0,157"
"Brazil Mobile",55176,"0,157"
"Brazil Mobile",55177,"0,157"
"Brazil Mobile",55178,"0,157"
"Brazil Mobile",55179,"0,157"
"Brazil Mobile",55187,"0,157"
"Brazil Mobile",55188,"0,157"
"Brazil Mobile",55189,"0,157"
"Brazil Mobile",55197,"0,157"
"Brazil Mobile",55198,"0,157"
"Brazil Mobile",55199,"0,157"
"Brazil Mobile",55217,"0,157"
"Brazil Mobile",55218,"0,157"
"Brazil Mobile",55867,"0,157"
"Brazil Mobile",55868,"0,157"
"Brazil Mobile",55876,"0,157"
"Brazil Mobile",55877,"0,157"
"Brazil Mobile",55878,"0,157"
"Brazil Mobile",55879,"0,157"
"Brazil Mobile",55886,"0,157"
"Brazil Mobile",55887,"0,157"
"Brazil Mobile",55888,"0,157"
"Brazil Mobile",55889,"0,157"
"Brazil Mobile",55896,"0,157"
"Brazil Mobile",55897,"0,157"
"Brazil Mobile",55898,"0,157"
"Brazil Mobile",55899,"0,157"
"Brazil Mobile",55916,"0,157"
"Brazil Mobile",55917,"0,157"
"Brazil Mobile",55918,"0,157"
"Brazil Mobile",55919,"0,157"
"Brazil Mobile",55926,"0,157"
"Brazil Mobile",55927,"0,157"
"Brazil Mobile",55928,"0,157"
"Brazil Mobile",55929,"0,157"
"Brazil Mobile",55936,"0,157"
"Brazil Mobile",55937,"0,157"
"Brazil Mobile",55938,"0,157"
"Brazil Mobile",55939,"0,157"
"Brazil Mobile",55946,"0,157"
"Brazil Mobile",55947,"0,157"
"Brazil Mobile",55948,"0,157"
"Brazil Mobile",55949,"0,157"
"Brazil Mobile",55957,"0,157"
"Brazil Mobile",55958,"0,157"
"Brazil Mobile",55959,"0,157"
"Brazil Mobile",55966,"0,157"
"Brazil Mobile",55967,"0,157"
"Brazil Mobile",55968,"0,157"
"Brazil Mobile",55969,"0,157"
"Brazil Mobile",55976,"0,157"
"Brazil Mobile",55977,"0,157"
"Brazil Mobile",55978,"0,157"
"Brazil Mobile",55979,"0,157"
"Brazil Mobile",55986,"0,157"
"Brazil Mobile",55987,"0,157"
"Brazil Mobile",55988,"0,157"
"Brazil Mobile",55989,"0,157"
"Brazil Mobile",55996,"0,157"
"Brazil Mobile",55997,"0,157"
"Brazil Mobile",55998,"0,157"
"Brazil Mobile",55999,"0,157"
"Brazil Mobile",55219,"0,157"
"Brazil Mobile",55226,"0,157"
"Brazil Mobile",55227,"0,157"
"Brazil Mobile",55228,"0,157"
"Brazil Mobile",55229,"0,157"
"Brazil Mobile",55236,"0,157"
"Brazil Mobile",55237,"0,157"
"Brazil Mobile",55238,"0,157"
"Brazil Mobile",55239,"0,157"
"Brazil Mobile",55246,"0,157"
"Brazil Mobile",55247,"0,157"
"Brazil Mobile",55248,"0,157"
"Brazil Mobile",55249,"0,157"
"Brazil Mobile",55256,"0,157"
"Brazil Mobile",55257,"0,157"
"Brazil Mobile",55258,"0,157"
"Brazil Mobile",55259,"0,157"
"Brazil Mobile",55266,"0,157"
"Brazil Mobile",55267,"0,157"
"Brazil Mobile",55268,"0,157"
"Brazil Mobile",55269,"0,157"
"Brazil Mobile",55276,"0,157"
"Brazil Mobile",55277,"0,157"
"Brazil Mobile",55278,"0,157"
"Brazil Mobile",55279,"0,157"
"Brazil Mobile",55286,"0,157"
"Brazil Mobile",55287,"0,157"
"Brazil Mobile",55288,"0,157"
"Brazil Mobile",55289,"0,157"
"Brazil Mobile",55296,"0,157"
"Brazil Mobile",55297,"0,157"
"Brazil Mobile",55298,"0,157"
"Brazil Mobile",55299,"0,157"
"Brazil Mobile",55316,"0,157"
"Brazil Mobile",55317,"0,157"
"Brazil Mobile",55318,"0,157"
"Brazil Mobile",55319,"0,157"
"Brazil Mobile",55326,"0,157"
"Brazil Mobile",55327,"0,157"
"Brazil Mobile",55328,"0,157"
"Brazil Mobile",55329,"0,157"
"Brazil Mobile",55336,"0,157"
"Brazil Mobile",55337,"0,157"
"Brazil Mobile",55338,"0,157"
"Brazil Mobile",55339,"0,157"
"Brazil Mobile",55346,"0,157"
"Brazil Mobile",55347,"0,157"
"Brazil Mobile",55348,"0,157"
"Brazil Mobile",55349,"0,157"
"Brazil Mobile",55356,"0,157"
"Brazil Mobile",55358,"0,157"
"Brazil Mobile",55359,"0,157"
"Brazil Mobile",55366,"0,157"
"Brazil Mobile",55368,"0,157"
"Brazil Mobile",55369,"0,157"
"Brazil Mobile",55376,"0,157"
"Brazil Mobile",55378,"0,157"
"Brazil Mobile",55379,"0,157"
"Brazil Mobile",55386,"0,157"
"Brazil Mobile",55388,"0,157"
"Brazil Mobile",55389,"0,157"
"Brazil Mobile",55396,"0,157"
"Brazil Mobile",55398,"0,157"
"Brazil Mobile",55399,"0,157"
"Brazil Mobile",55416,"0,157"
"Brazil Mobile",55418,"0,157"
"Brazil Mobile",55419,"0,157"
"Brazil Mobile",55426,"0,157"
"Brazil Mobile",55428,"0,157"
"Brazil Mobile",55429,"0,157"
"Brazil Mobile",55436,"0,157"
"Brazil Mobile",55437,"0,157"
"Brazil Mobile",55439,"0,157"
"Brazil Mobile",55446,"0,157"
"Brazil Mobile",55447,"0,157"
"Brazil Mobile",55449,"0,157"
"Brazil Mobile",55456,"0,157"
"Brazil Mobile",55457,"0,157"
"Brazil Mobile",55459,"0,157"
"Brazil Mobile",55466,"0,157"
"Brazil Mobile",55467,"0,157"
"Brazil Mobile",55469,"0,157"
"Brazil Mobile",55476,"0,157"
"Brazil Mobile",55477,"0,157"
"Brazil Mobile",55479,"0,157"
"Brazil Mobile",55486,"0,157"
"Brazil Mobile",55487,"0,157"
"Brazil Mobile",55489,"0,157"
"Brazil Mobile",55496,"0,157"
"Brazil Mobile",55497,"0,157"
"Brazil Mobile",55499,"0,157"
"Brazil Mobile",55516,"0,157"
"Brazil Mobile",55517,"0,157"
"Brazil Mobile",55518,"0,157"
"Brazil Mobile",55526,"0,157"
"Brazil Mobile",55527,"0,157"
"Brazil Mobile",55528,"0,157"
"Brazil Mobile",55536,"0,157"
"Brazil Mobile",55537,"0,157"
"Brazil Mobile",55538,"0,157"
"Brazil Mobile",55546,"0,157"
"Brazil Mobile",55547,"0,157"
"Brazil Mobile",55548,"0,157"
"Brazil Mobile",55556,"0,157"
"Brazil Mobile",55557,"0,157"
"Brazil Mobile",55558,"0,157"
"Brazil Mobile",55566,"0,157"
"Brazil Mobile",55567,"0,157"
"Brazil Mobile",55568,"0,157"
"Brazil Mobile",55576,"0,157"
"Brazil Mobile",55577,"0,157"
"Brazil Mobile",55578,"0,157"
"Brazil Mobile",55586,"0,157"
"Brazil Mobile",55587,"0,157"
"Brazil Mobile",55588,"0,157"
"Brazil Mobile",55589,"0,157"
"Brazil Mobile",55597,"0,157"
"Brazil Mobile",55598,"0,157"
"Brazil Mobile",55599,"0,157"
"Brazil Mobile",55617,"0,157"
"Brazil Mobile",55618,"0,157"
"Brazil Mobile",55619,"0,157"
"Brazil Mobile",55627,"0,157"
"Brazil Mobile",55628,"0,157"
"Brazil Mobile",55629,"0,157"
"Brazil Mobile",55637,"0,157"
"Brazil Mobile",55638,"0,157"
"Brazil Mobile",55639,"0,157"
"Brazil Mobile",55647,"0,157"
"Brazil Mobile",55648,"0,157"
"Brazil Mobile",55649,"0,157"
"Brazil Mobile",55657,"0,157"
"Brazil Mobile",55658,"0,157"
"Brazil Mobile",55659,"0,157"
"Brazil Mobile",55667,"0,157"
"Brazil Mobile",55668,"0,157"
"Brazil Mobile",55669,"0,157"
"Brazil Mobile",55676,"0,157"
"Brazil Mobile",55678,"0,157"
"Brazil Mobile",55679,"0,157"
"Brazil Mobile",55686,"0,157"
"Brazil Mobile",55688,"0,157"
"Brazil Mobile",55689,"0,157"
"Brazil Mobile",55696,"0,157"
"Brazil Mobile",55698,"0,157"
"Brazil Mobile",55699,"0,157"
"Brazil Mobile",55716,"0,157"
"Brazil Mobile",55718,"0,157"
"Brazil Mobile",55719,"0,157"
"Brazil Mobile",55726,"0,157"
"Brazil Mobile",55728,"0,157"
"Brazil Mobile",55729,"0,157"
"Brazil Mobile",55736,"0,157"
"Brazil Mobile",55738,"0,157"
"Brazil Mobile",55739,"0,157"
"Brazil Mobile",55746,"0,157"
"Brazil Mobile",55748,"0,157"
"Brazil Mobile",55749,"0,157"
"Brazil Mobile",55756,"0,157"
"Brazil Mobile",55758,"0,157"
"Brazil Mobile",55759,"0,157"
"Brazil Mobile",55766,"0,157"
"Brazil Mobile",55767,"0,157"
"Brazil Mobile",55769,"0,157"
"Brazil Mobile",55776,"0,157"
"Brazil Mobile",55777,"0,157"
"Brazil Mobile",55779,"0,157"
"Brazil Mobile",55786,"0,157"
"Brazil Mobile",55787,"0,157"
"Brazil Mobile",55789,"0,157"
"Brazil Mobile",55796,"0,157"
"Brazil Mobile",55797,"0,157"
"Brazil Mobile",55799,"0,157"
"Brazil Mobile",55816,"0,157"
"Brazil Mobile",55817,"0,157"
"Brazil Mobile",55819,"0,157"
"Brazil Mobile",55826,"0,157"
"Brazil Mobile",55827,"0,157"
"Brazil Mobile",55829,"0,157"
"Brazil Mobile",55836,"0,157"
"Brazil Mobile",55837,"0,157"
"Brazil Mobile",55839,"0,157"
"Brazil Mobile",55846,"0,157"
"Brazil Mobile",55847,"0,157"
"Brazil Mobile",55848,"0,157"
"Brazil Mobile",55856,"0,157"
"Brazil Mobile",55857,"0,157"
"Brazil Mobile",55858,"0,157"
"Brazil Mobile",55866,"0,157"
"Brazil Mobile",55757,"0,157"
"Brazil Mobile",55768,"0,157"
"Brazil Mobile",55778,"0,157"
"Brazil Mobile",55788,"0,157"
"Brazil Mobile",55798,"0,157"
"Brazil Mobile",55818,"0,157"
"Brazil Mobile",55828,"0,157"
"Brazil Mobile",55838,"0,157"
"Brazil Mobile",55849,"0,157"
"Brazil Mobile",55859,"0,157"
"Brazil Mobile",55427,"0,157"
"Brazil Mobile",55438,"0,157"
"Brazil Mobile",55448,"0,157"
"Brazil Mobile",55458,"0,157"
"Brazil Mobile",55468,"0,157"
"Brazil Mobile",55478,"0,157"
"Brazil Mobile",55488,"0,157"
"Brazil Mobile",55519,"0,157"
"Brazil Mobile",55529,"0,157"
"Brazil Mobile",55539,"0,157"
"Brazil Mobile",55559,"0,157"
"Brazil Mobile",55569,"0,157"
"Brazil Mobile",55579,"0,157"
"Brazil Mobile",55596,"0,157"
"Brazil Mobile",55616,"0,157"
"Brazil Mobile",55626,"0,157"
"Brazil Mobile",55636,"0,157"
"Brazil Mobile",55646,"0,157"
"Brazil Mobile",55656,"0,157"
"Brazil Mobile",55666,"0,157"
"Brazil Mobile",55677,"0,157"
"Brazil Mobile",55687,"0,157"
"Brazil Mobile",55697,"0,157"
"Brazil Mobile",55717,"0,157"
"Brazil Mobile",55115214,"0,157"
"Brazil Mobile",55115218,"0,157"
"Brazil Mobile",55115520,"0,157"
"Brazil Mobile",55115551,"0,157"
"Brazil Mobile",5511580,"0,157"
"Brazil Mobile",55115901,"0,157"
"Brazil Mobile",5511591,"0,157"
"Brazil Mobile",55115937,"0,157"
"Brazil Mobile",55119,"0,157"
"Brazil Mobile",55129,"0,157"
"Brazil Mobile",55139,"0,157"
"Brazil Mobile",55149,"0,157"
"Brazil Mobile",55159,"0,157"
"Brazil Mobile",55169,"0,157"
"Brazil Mobile",55186,"0,157"
"Brazil Mobile",55196,"0,157"
"Brazil Mobile",55216,"0,157"
"Brazil Mobile",55357,"0,157"
"Brazil Mobile",55367,"0,157"
"Brazil Mobile",55377,"0,157"
"Brazil Mobile",55387,"0,157"
"Brazil Mobile",55397,"0,157"
"Brazil Mobile",55115195,"0,157"
"Brazil Mobile",55115199,"0,157"
"Brazil Mobile",55737,"0,157"
"Brazil Mobile",55115210,"0,157"
"Brazil Mobile",55117,"0,157"
